test,source,event,pile,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,candidate,uniform,delta,snapshots
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,2,peak_load_error,0.2119461508130269,0.3794092933636277,-0.16746314255060082,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,2,profile_nrmse,0.24656436277011376,0.26816234609045464,-0.02159798332034088,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,2,peak_load_error,0.2119461508130269,0.3794092933636277,-0.16746314255060082,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,3,profile_nrmse,0.22271109623369667,0.26030014438262233,-0.03758904814892566,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,3,peak_load_error,0.2119461508130269,0.2819504190886646,-0.07000426827563769,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,3,profile_nrmse,0.22271109623369667,0.26030014438262233,-0.03758904814892566,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,3,peak_load_error,0.2119461508130269,0.2819504190886646,-0.07000426827563769,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,4,profile_nrmse,0.24553548556796376,0.23978508095719098,0.00575040461077278,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,4,peak_load_error,0.0,0.2819504190886646,-0.2819504190886646,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,original,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,4,profile_nrmse,0.24553548556796376,0.23978508095719098,0.00575040461077278,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,4,peak_load_error,0.0,0.2819504190886646,-0.2819504190886646,120
SKS02,SKS03,EQM_1,1,0,0.5,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,120
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,2,profile_nrmse,0.38412078163093716,0.2684033878146545,0.11571739381628265,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,2,peak_load_error,0.21364989642940624,0.3790464335245658,-0.16539653709515956,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,2,profile_nrmse,0.2466782135053701,0.2684033878146545,-0.021725174309284417,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,2,peak_load_error,0.21364989642940624,0.3790464335245658,-0.16539653709515956,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,3,profile_nrmse,0.222740266757588,0.2599567186180859,-0.03721645186049788,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,3,peak_load_error,0.21364989642940624,0.2820507760328114,-0.06840087960340518,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,3,profile_nrmse,0.222740266757588,0.2599567186180859,-0.03721645186049788,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,3,peak_load_error,0.21364989642940624,0.2820507760328114,-0.06840087960340518,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,4,profile_nrmse,0.24568983280115358,0.23995128952212463,0.0057385432790289514,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,4,peak_load_error,0.0,0.2820507760328114,-0.2820507760328114,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,original,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,4,profile_nrmse,0.24568983280115358,0.23995128952212463,0.0057385432790289514,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,4,peak_load_error,0.0,0.2820507760328114,-0.2820507760328114,240
SKS02,SKS03,EQM_1,1,0,0.5,240,shaking,boundary_retained,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,240
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,2,profile_nrmse,0.3845878064866085,0.26816234609045464,0.11642546039615387,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,2,peak_load_error,0.2119461508130269,0.3794092933636277,-0.16746314255060082,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,2,profile_nrmse,0.24656436277011376,0.26816234609045464,-0.02159798332034088,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,2,peak_load_error,0.2119461508130269,0.3794092933636277,-0.16746314255060082,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,3,profile_nrmse,0.22271109623369667,0.26030014438262233,-0.03758904814892566,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,3,peak_load_error,0.2119461508130269,0.2819504190886646,-0.07000426827563769,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,3,profile_nrmse,0.22271109623369667,0.26030014438262233,-0.03758904814892566,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,3,peak_load_error,0.2119461508130269,0.2819504190886646,-0.07000426827563769,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,4,profile_nrmse,0.24553548556796376,0.23978508095719098,0.00575040461077278,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,4,peak_load_error,0.0,0.2819504190886646,-0.2819504190886646,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,original,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,4,profile_nrmse,0.24553548556796376,0.23978508095719098,0.00575040461077278,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,4,peak_load_error,0.0,0.2819504190886646,-0.2819504190886646,120
SKS02,SKS03,EQM_1,1,0,0.75,120,shaking,boundary_retained,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,120
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,2,profile_nrmse,0.38412078163093716,0.2684033878146545,0.11571739381628265,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,2,peak_load_error,0.21364989642940624,0.3790464335245658,-0.16539653709515956,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,2,profile_nrmse,0.2466782135053701,0.2684033878146545,-0.021725174309284417,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,2,peak_load_error,0.21364989642940624,0.3790464335245658,-0.16539653709515956,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,2,peak_depth_error,0.7142857142857142,0.1428571428571429,0.5714285714285713,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,3,profile_nrmse,0.222740266757588,0.2599567186180859,-0.03721645186049788,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,3,peak_load_error,0.21364989642940624,0.2820507760328114,-0.06840087960340518,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,3,profile_nrmse,0.222740266757588,0.2599567186180859,-0.03721645186049788,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,3,peak_load_error,0.21364989642940624,0.2820507760328114,-0.06840087960340518,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,3,peak_depth_error,0.7142857142857142,0.5714285714285714,0.1428571428571428,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,4,profile_nrmse,0.24568983280115358,0.23995128952212463,0.0057385432790289514,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,4,peak_load_error,0.0,0.2820507760328114,-0.2820507760328114,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,original,4,peak_depth_error,0.0,0.5714285714285714,-0.5714285714285714,240
SKS02,SKS03,EQM_1,1,0,0.75,240,shaking,boundary_retained,4,profile_nrmse,0.24568983280115358,0.23995128952212463,0.0057385432790289514,240
