training_test,evaluation_test,direction,additional_stations_b,smoothing,smoothing_multiplier,normalisation_floor_mn,specification,selected_gage_indices_top_to_bottom,selected_normalised_depths,event,piles_aggregated,candidate_event_p90_nrmse,uniform_event_p90_nrmse,candidate_minus_uniform
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.025,none; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_3,2,0.16851723329639157,0.19433235580233363,-0.025815122505942062
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.025,none; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_4,2,0.10146013184535248,0.19721435745953975,-0.09575422561418725
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.025,none; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_5,2,0.13206060192976776,0.1975749990309926,-0.06551439710122484
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.025,none; floor=0.025 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_6,2,0.1287287067610276,0.19251709714639442,-0.06378839038536681
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.05,none; floor=0.050 MN,0;1;3,0.000;0.143;0.429,EQM_1,2,0.1313199050222652,0.2302223614088352,-0.09890245638657
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.05,none; floor=0.050 MN,0;1;3,0.000;0.143;0.429,EQM_2,2,0.13613114027601067,0.25149274677914196,-0.11536160650313129
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.05,none; floor=0.050 MN,0;1;3,0.000;0.143;0.429,EQM_3,2,0.12607717567412527,0.2795848192067112,-0.15350764353258592
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.05,none; floor=0.050 MN,0;1;3,0.000;0.143;0.429,EQM_4,2,0.13440591770682345,0.2943304080110122,-0.15992449030418876
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.05,none; floor=0.050 MN,0;1;3,0.000;0.143;0.429,EQM_5,2,0.2117543902579669,0.28857557693837077,-0.07682118668040389
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_1,2,0.09964073782971632,0.1419200072075808,-0.04227926937786447
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_2,2,0.09867577353121462,0.142260663399268,-0.04358488986805337
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_3,2,0.09480430613638541,0.1502130100060703,-0.05540870386968489
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_4,2,0.07722319293591198,0.15248261190200713,-0.07525941896609514
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_5,2,0.10422302427616129,0.18029808296293498,-0.07607505868677368
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_1,2,0.0691350304463268,0.12805334500947974,-0.058918314563152926
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_2,2,0.054059468679029485,0.1391801773478329,-0.08512070866880339
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_3,2,0.04580551756240237,0.14853540122113695,-0.10272988365873457
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_4,2,0.03769559500807785,0.1528602304543658,-0.11516463544628798
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.05,none; floor=0.050 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_5,2,0.08697854521313199,0.15542867830262927,-0.06845013308949728
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,EQM_1,2,0.2552975393858851,0.21325348398828492,0.042044055397600186
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,EQM_2,2,0.26392554062982493,0.22275388384884381,0.041171656780981114
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,EQM_3,2,0.2724171545816851,0.2111145274417291,0.061302627139955976
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,EQM_4,2,0.20848642061296352,0.25329961248924215,-0.04481319187627861
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,EQM_5,2,0.21062367554789377,0.2293220966037927,-0.01869842105589896
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.05,none; floor=0.050 MN,0;1;5,0.000;0.143;0.714,EQM_6,2,0.2181739593014265,0.21213094543750194,0.006043013863924543
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_1,2,0.1986536737121933,0.1997858676638083,-0.001132193951614971
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_2,2,0.2077000523479378,0.2113697632086417,-0.003669710860703862
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_3,2,0.20249812683465754,0.2135455852234962,-0.011047458388838652
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_4,2,0.19783611087542577,0.19883815048714826,-0.0010020396117224883
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_5,2,0.17458280126052222,0.19871317661902582,-0.024130375358503625
SKS03,SKS02,SKS03 to SKS02,3,none,0.0,0.05,none; floor=0.050 MN,0;1;3;7,0.000;0.143;0.429;1.000,EQM_6,2,0.18813859734336452,0.19517196539654616,-0.007033368053181638
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_1,2,0.14723571847472344,0.18959745499282082,-0.04236173651809739
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_2,2,0.15730938727726937,0.2016569831327517,-0.044347595855482355
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_3,2,0.16851723329639157,0.19433235580233363,-0.025815122505942062
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_4,2,0.10146013184535248,0.19721435745953975,-0.09575422561418725
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_5,2,0.13206060192976776,0.1975749990309926,-0.06551439710122484
SKS03,SKS02,SKS03 to SKS02,4,none,0.0,0.05,none; floor=0.050 MN,0;1;4;6;7,0.000;0.143;0.571;0.857;1.000,EQM_6,2,0.1287287067610276,0.19251709714639442,-0.06378839038536681
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.1,none; floor=0.100 MN,0;1;3,0.000;0.143;0.429,EQM_1,2,0.1313199050222652,0.2302223614088352,-0.09890245638657
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.1,none; floor=0.100 MN,0;1;3,0.000;0.143;0.429,EQM_2,2,0.13613114027601067,0.25149274677914196,-0.11536160650313129
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.1,none; floor=0.100 MN,0;1;3,0.000;0.143;0.429,EQM_3,2,0.12607717567412527,0.2795848192067112,-0.15350764353258592
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.1,none; floor=0.100 MN,0;1;3,0.000;0.143;0.429,EQM_4,2,0.13440591770682345,0.2943304080110122,-0.15992449030418876
SKS02,SKS03,SKS02 to SKS03,2,none,0.0,0.1,none; floor=0.100 MN,0;1;3,0.000;0.143;0.429,EQM_5,2,0.2117543902579669,0.28857557693837077,-0.07682118668040389
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_1,2,0.09964073782971632,0.1419200072075808,-0.04227926937786447
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_2,2,0.09867577353121462,0.142260663399268,-0.04358488986805337
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_3,2,0.09480430613638541,0.1502130100060703,-0.05540870386968489
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_4,2,0.07722319293591198,0.15248261190200713,-0.07525941896609514
SKS02,SKS03,SKS02 to SKS03,3,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6,0.000;0.143;0.714;0.857,EQM_5,2,0.10422302427616129,0.18029808296293498,-0.07607505868677368
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_1,2,0.0691350304463268,0.12805334500947974,-0.058918314563152926
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_2,2,0.054059468679029485,0.1391801773478329,-0.08512070866880339
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_3,2,0.04580551756240237,0.14853540122113695,-0.10272988365873457
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_4,2,0.03769559500807785,0.1528602304543658,-0.11516463544628798
SKS02,SKS03,SKS02 to SKS03,4,none,0.0,0.1,none; floor=0.100 MN,0;1;5;6;7,0.000;0.143;0.714;0.857;1.000,EQM_5,2,0.08697854521313199,0.15542867830262927,-0.06845013308949728
SKS03,SKS02,SKS03 to SKS02,2,none,0.0,0.1,none; floor=0.100 MN,0;1;5,0.000;0.143;0.714,EQM_1,2,0.2552975393858851,0.21325348398828492,0.042044055397600186
